__pk_ScreenLabel_ID,Abbreviation,Description,Name,Text
"2090512","","","About","About"
"2090513","","","Account Information","Account Information"
"2090514","","","Account Settings","Account Settings"
"2090475","","","Acknowledgement","Acknowledgement"
"2090497","","","Actions...","Actions..."
"2090354","","","Activation Mode","Activation Mode"
"2090509","","","Add Focal Resource to Collection","Add Focal Resource to Collection"
"2090482","","","Address","Address"
"2090451","","","Address !","Address !"
"2090452","","","Address 2","Address 2"
"2090334","","","Admin User","Admin User"
"2090098","","","Administration","Administration"
"2090327","","","Administrator","Administrator"
"2090275","","","Agent","Agent"
"2090361","","","Aggregated Status","Aggregated Status"
"2090507","","","All Resources","All Resources"
"2090531","","","Alternate Email","Alternate Email"
"2090489","","","Asset Profile","Asset Profile"
"2090119","","","ATBD","ATBD"
"2090283","","","ATBD Reference ","ATBD Reference "
"2090258","","","Attachment","Attachment"
"2090139","","","Attribute Group","Attribute Group"
"2090520","","","Authenticating Organization","Authenticating Organization"
"2090328","","","Authority","Authority"
"2090088","","","Batteries","Batteries"
"2090039","","","Baud Rate Default","Baud Rate Default"
"2090502","","","Block","Block"
"2090056","","","Buoyancy","Buoyancy"
"2090426","","","Calibration","Calibration"
"2090542","","","Cancel","Cancel"
"2090539","","","Cancel Edit","Cancel Edit"
"2090545","","","Cancel Exit","Cancel Exit"
"2090118","","","Catalog","Catalog"
"2090462","","","CDM Data Type","CDM Data Type"
"2090547","","","Chart","Chart"
"2090453","","","City","City"
"2090052","","","Clock Max Drift","Clock Max Drift"
"2090053","","","Clock Notes","Clock Notes"
"2090051","","","Clock Sync","Clock Sync"
"2090050","","","Clock Type","Clock Type"
"2090496","","","CMD D","CMD D"
"2090065","","","Cold Start Boot Time","Cold Start Boot Time"
"2090066","","","Cold Start Sample Time","Cold Start Sample Time"
"2090508","","","Collection","Collection"
"2090140","","","Command","Command"
"2090428","","","Command Status","Command Status"
"2090436","","","Comment","Comment"
"2090443","","","Communication Details","Communication Details"
"2090386","","","Communications","Communications"
"2090276","","","Communications Systems","Communications Systems"
"2090367","","","Composed Attributes","Composed Attributes"
"2090335","","","Connect String","Connect String"
"2090136","","","Connection Method","Connection Method"
"2090398","","","Consumable Batteries","Consumable Batteries"
"2090399","","","Consumable Other","Consumable Other"
"2090397","","","Consumable Reagents","Consumable Reagents"
"2090342","","","Contact","Contact"
"2090340","","","Contact ","Contact "
"2090459","","","Contact Information","Contact Information"
"2090095","","","Contacts","Contacts"
"2090042","","","Control Commands","Control Commands"
"2090268","","","Controller","Controller"
"2090455","","","Country","Country"
"2090007","","","Created","Created"
"2090566","","","Curation Information","Curation Information"
"2090304","","","Current Instance","Current Instance"
"2090082","","","Current Max","Current Max"
"2090083","","","Current Operational","Current Operational"
"2090084","","","Current Standard","Current Standard"
"2090070","","","Current Type","Current Type"
"2090532","","","Dark","Dark"
"2090484","","","Dashboard","Dashboard"
"2090097","","","Data","Data"
"2090553","","","Data Bounds","Data Bounds"
"2090568","","","Data Contacts","Data Contacts"
"2090444","","","Data Details","Data Details"
"2090104","","","Data Information","Data Information"
"2090111","","","Data Interface","Data Interface"
"2090307","","","Data Log Rate","Data Log Rate"
"2090308","","","Data Logged","Data Logged"
"2090044","","","Data Polling","Data Polling"
"2090439","","","Data Process","Data Process"
"2090569","","","Data Process Information","Data Process Information"
"2090440","","","Data Processes","Data Processes"
"2090030","","","Data Produced","Data Produced"
"2090301","","","Data Producer Type","Data Producer Type"
"2090438","","","Data Product","Data Product"
"2090441","","","Data Products","Data Products"
"2090280","","","Data Profile","Data Profile"
"2090040","","","Data Rates","Data Rates"
"2090348","","","Data Record Description","Data Record Description"
"2090063","","","Data Storage Capacity","Data Storage Capacity"
"2090043","","","Data Streaming","Data Streaming"
"2090406","","","Data Transmission Rate","Data Transmission Rate"
"2090432","","","Data URL","Data URL"
"2090347","","","Dataset Description","Dataset Description"
"2090345","","","Dataset Path","Dataset Path"
"2090123","","","Date","Date"
"2090377","","","Date Time","Date Time"
"2090024","","","Datum Characterizaion","Datum Characterizaion"
"2090142","","","Definition","Definition"
"2090510","","","Delete Collection","Delete Collection"
"2090372","","","Delivery Address","Delivery Address"
"2090373","","","Delivery Channel","Delivery Channel"
"2090374","","","Delivery Interval","Delivery Interval"
"2090375","","","Delivery Mode","Delivery Mode"
"2090403","","","Deployed Site","Deployed Site"
"2090109","","","Deployment Information","Deployment Information"
"2090254","","","Depth","Depth"
"2090005","","","Description","Description"
"2090499","","","Detailed View","Detailed View"
"2090277","","","Details","Details"
"2090054","","","Dimentions","Dimentions"
"2090450","","","Diminutive","Diminutive"
"2090485","","","Direct Command","Direct Command"
"2090546","","","Display As...","Display As..."
"2090120","","","Reference","References"
"2090543","","","Don't Save","Don't Save"
"2090473","","","Download Information","Download Information"
"2090255","","","Download Size","Download Size"
"2090133","","","Driver Class","Driver Class"
"2090135","","","Driver Client Class","Driver Client Class"
"2090134","","","Driver Client Module","Driver Client Module"
"2090047","","","Driver Compatability","Driver Compatability"
"2090132","","","Driver Module","Driver Module"
"2090498","","","Edit","Edit"
"2090263","","","Effective Date","Effective Date"
"2090075","","","Electrical Notes","Electrical Notes"
"2090410","","","Email","Email"
"2090371","","","Encoding","Encoding"
"2090299","","","End Date","End Date"
"2090405","","","Energy Consumption","Energy Consumption"
"2090404","","","Energy Generation","Energy Generation"
"2090108","","","Engineering Sensors","Engineering Sensors"
